Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,response,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR5088813,RNA-Seq,101,5265101365,PRJNA356761,SAMN06124981,3569647717,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405808,GSM2420259,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:00:00Z,1,GSM2420259,tumor,SRP094781,melanoma
SRR5088814,RNA-Seq,101,5356599488,PRJNA356761,SAMN06125034,3648008765,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405809,GSM2420260,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:50:00Z,1,GSM2420260,tumor,SRP094781,melanoma
SRR5088815,RNA-Seq,101,5081419361,PRJNA356761,SAMN06125033,3501567866,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405810,GSM2420261,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:56:00Z,1,GSM2420261,tumor,SRP094781,melanoma
SRR5088816,RNA-Seq,101,5163004789,PRJNA356761,SAMN06125032,3389296945,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405811,GSM2420262,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:38:00Z,1,GSM2420262,tumor,SRP094781,melanoma
SRR5088817,RNA-Seq,101,4985040109,PRJNA356761,SAMN06125031,3432348761,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405812,GSM2420263,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,UNK,2017-08-01T17:48:00Z,1,GSM2420263,tumor,SRP094781,melanoma
SRR5088818,RNA-Seq,101,5151968812,PRJNA356761,SAMN06125030,3411585335,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405813,GSM2420264,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,UNK,2017-08-01T17:45:00Z,1,GSM2420264,tumor,SRP094781,melanoma
SRR5088819,RNA-Seq,101,5452391590,PRJNA356761,SAMN06125029,3776832035,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405814,GSM2420265,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:56:00Z,1,GSM2420265,tumor,SRP094781,melanoma
SRR5088820,RNA-Seq,101,5317245519,PRJNA356761,SAMN06125028,2507791729,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405815,GSM2420266,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:16:00Z,1,GSM2420266,tumor,SRP094781,melanoma
SRR5088821,RNA-Seq,101,5269794504,PRJNA356761,SAMN06125027,3608164485,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405816,GSM2420267,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:01:00Z,1,GSM2420267,tumor,SRP094781,melanoma
SRR5088822,RNA-Seq,101,5142855545,PRJNA356761,SAMN06125026,3502399102,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405817,GSM2420268,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:49:00Z,1,GSM2420268,tumor,SRP094781,melanoma
