Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,therapy
SRR8112646,RNA-Seq,286,17893975235,PRJNA498500,SAMN10311475,7255040225,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939030,GSM3447008,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:21:00Z,1,GSM3447008,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112647,RNA-Seq,286,19605154288,PRJNA498500,SAMN10311474,7965541837,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939031,GSM3447009,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:37:00Z,1,GSM3447009,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112648,RNA-Seq,286,17212370640,PRJNA498500,SAMN10311473,7011689161,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939032,GSM3447010,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:25:00Z,1,GSM3447010,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112649,RNA-Seq,279,24390327085,PRJNA498500,SAMN10311472,10020499553,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939033,GSM3447011,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:52:00Z,1,GSM3447011,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112650,RNA-Seq,287,26725423283,PRJNA498500,SAMN10311471,10916355742,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939034,GSM3447012,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T17:06:00Z,1,GSM3447012,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112651,RNA-Seq,286,22276553818,PRJNA498500,SAMN10311470,9101335826,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939035,GSM3447013,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:29:00Z,1,GSM3447013,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112652,RNA-Seq,284,21043714561,PRJNA498500,SAMN10311469,9172648835,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939036,GSM3447014,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:33:00Z,1,GSM3447014,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112653,RNA-Seq,288,20774852738,PRJNA498500,SAMN10311468,8361066992,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939037,GSM3447015,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:32:00Z,1,GSM3447015,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112654,RNA-Seq,288,21523665786,PRJNA498500,SAMN10311467,8697472321,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939038,GSM3447016,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:35:00Z,1,GSM3447016,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112655,RNA-Seq,286,22429077098,PRJNA498500,SAMN10311466,8946010320,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939039,GSM3447017,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:54:00Z,1,GSM3447017,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
