Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,response,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR13521085,RNA-Seq,58,240739150,PRJNA694637,SAMN17528638,86683886,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932090,GSM5033944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:55:00Z,1,GSM5033944,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521086,RNA-Seq,58,1875120860,PRJNA694637,SAMN17528638,684080009,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932090,GSM5033944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:03:00Z,1,GSM5033944,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521087,RNA-Seq,58,655561414,PRJNA694637,SAMN17528638,235689167,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9932090,GSM5033944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:57:00Z,1,GSM5033944,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521088,RNA-Seq,58,1404188990,PRJNA694637,SAMN17528638,509744085,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9932090,GSM5033944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:02:00Z,1,GSM5033944,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521089,RNA-Seq,58,926572794,PRJNA694637,SAMN17528638,343135106,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932090,GSM5033944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:59:00Z,1,GSM5033944,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521090,RNA-Seq,58,189198494,PRJNA694637,SAMN17528637,68096691,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932091,GSM5033945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:55:00Z,1,GSM5033945,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521091,RNA-Seq,58,1470567786,PRJNA694637,SAMN17528637,534657593,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932091,GSM5033945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:03:00Z,1,GSM5033945,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521092,RNA-Seq,58,523369438,PRJNA694637,SAMN17528637,186926175,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932091,GSM5033945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:56:00Z,1,GSM5033945,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521093,RNA-Seq,58,1102619556,PRJNA694637,SAMN17528637,398593595,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932091,GSM5033945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:00:00Z,1,GSM5033945,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521094,RNA-Seq,58,710420134,PRJNA694637,SAMN17528637,262439456,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9932091,GSM5033945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:01:00Z,1,GSM5033945,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
