Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,patient_diagnosis,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR15409681,OTHER,247,20827861097,PRJNA753518,SAMN20698700,8502091256,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11711843,GSM5512432,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T01:04:00Z,1,GSM5512432,Thymus tissue,SRP331940,thymus
SRR15409682,OTHER,247,31096629207,PRJNA753518,SAMN20698702,12726700685,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX11711844,GSM5512433,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-15T03:23:00Z,1,GSM5512433,Thymus tissue,SRP331940,thymus
SRR15409683,RNA-Seq,148,2719851687,PRJNA753518,SAMN20698703,1121614168,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX11711845,GSM5512434,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-11T00:50:00Z,1,GSM5512434,Thymus tissue,SRP331940,thymus
SRR15409684,OTHER,248,17578961008,PRJNA753518,SAMN20698705,7101295235,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX11711846,GSM5512435,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T00:02:00Z,1,GSM5512435,Thymus tissue,SRP331940,thymus
SRR15409685,OTHER,244,27493068499,PRJNA753518,SAMN20698707,11077110988,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11711847,GSM5512436,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T05:02:00Z,1,GSM5512436,Thymus tissue,SRP331940,thymus
SRR15409686,RNA-Seq,150,7151118574,PRJNA753518,SAMN20698709,3065363614,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX11711848,GSM5512437,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T08:21:00Z,1,GSM5512437,Thymus tissue,SRP331940,thymus
SRR15409687,OTHER,248,24443744475,PRJNA753518,SAMN20698710,9920285749,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711849,GSM5512438,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-13T23:36:00Z,1,GSM5512438,Thymus tissue,SRP331940,thymus
SRR15409688,OTHER,246,62768262379,PRJNA753518,SAMN20698712,25396009118,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11711850,GSM5512439,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-15T01:59:00Z,1,GSM5512439,Thymus tissue,SRP331940,thymus
SRR15409689,OTHER,245,21908619477,PRJNA753518,SAMN20698716,8832875790,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11711851,GSM5512441,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T02:22:00Z,1,GSM5512441,Thymus tissue,SRP331940,thymus
SRR15409690,OTHER,247,37166628938,PRJNA753518,SAMN20698717,15142607277,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711852,GSM5512442,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T20:33:00Z,1,GSM5512442,Thymus tissue,SRP331940,thymus
